Job Search,Company,Salary,Application Date,City,Title,Category
5,Edge Tech Academy,99999,4/6/2018,Hurst,Full-stack Developer,Programmer
9,New York Life,113703,10/9/2015,Dallas,Head of Data Governance for Enterprise Data Management,Other
15,Sabre,117003,10/9/2015,South Lake,Manager Software Development-00XY6.,Manager
18,Lanyon,89092,10/10/2015,Dallas,Director Software Development | (US-TX-Dallas),Director
22,PennyMac,112459,10/10/2015,Fort Worth,First Vice President Application Development,Vice Pres
23,CoreLogic,78370,10/10/2015,WestLake,Dir Software Engineering,Director
31,RealPage Inc. ,95763,10/12/2015,,Vice President Information Systems,Vice Pres
34,Omni Hotels,71073,10/12/2015,,ETL and Integration Developer,Developer
38,Broadridge,107410,10/13/2015,,Director of Development- Streamweaver.,Director
46,CyberCoders,99286,10/13/2015,Irving,VP of Software Engineering - .NET Management .NET Stack,Vice Pres
48,Hilton,84079,10/13/2015,,Manager BI Development,Manager
49,Veritude,100001,10/14/2015,,Sr. Manager Software Engineering Development Management,Manager
53,Princeton Information,101692,10/15/2015,,Senior IT Program Manager,Manager
59,Fidelity Investments,79075,10/15/2015,,Senior Manager Software Engineering Development Management – eServices Technical Leadership,Manager
62,Fidelity Investments,87813,10/15/2015,,Software Development Team Lead,Other
64,Neiman Marcus ,105866,10/15/2015,,IT Director Integration and Data Warehousing,Director
66,Neiman Marcus ,81445,10/15/2015,,IT Director Mobile (iOS) Application Development Point of Commerce and Payment Systems,Director
70,Fiserv,112783,10/15/2015,,Software Development Team Lead,Other
76,Watson Health,95317,10/15/2015,Irving,Manager Software Engineering Phytel,Manager
90,New York Life,116629,10/16/2015,Dallas,Head of Solutions Delivery & ASM (22127),Other
92,RBA,110948,10/16/2015,,SSIS and / or BI,Other
95,Oracle,109343,10/19/2015,,Software Development VP,Vice Pres
100,MultiPlan,107931,10/19/2015,Irving,Director Applications Development (Healthcare Insurance) ,Director
101,VHA-UHC Alliance NewCo Inc.,87955,10/19/2015,,Director-Applications Delivery & Development,Director
102,MedSynergies,102207,10/19/2015,,Director Application Support and Development ,Director
104,JP Morgan,104440,10/19/2015,,VP Application Development Manager,Manager
115,HireFinders Inc.,93508,10/19/2015,,Director of Application Support (Information Technology),Director
117,Epsilon,94427,10/19/2015,,Director Development,Director
120,Robert Half,118422,10/20/2015,,Director of Mobile Applications Development,Director
123,TMX Finance,102945,10/21/2015,Dallas,Senior Director of Development,Director
125,Wolters Kluwer,86530,10/21/2015,,Manager Software Development,Manager
129,Partnerships With Native Americans,112481,10/21/2015,,Information Technology Director,Director
133,Tech Systems,108029,10/21/2015,,Software Development Manager,Manager
136,Veredus,97333,10/21/2015,,Manager Software Engineering ,Manager
140,Prudent Technologies and Consulting ,71757,10/22/2015,,Software Development Manager,Manager
148,Maxsys Solutions LLC,80793,10/22/2015,,Development Manager,Manager
149,Amazon,103567,10/22/2015,Fort Worth,Software Development Manager,Manager
152,One Technologies,96799,10/22/2015,,Director of Development,Director
155,Mortgage Servicing,103352,10/23/2015,Irving,Java Development Manager (Mortgage Servicing),Manager
164,Timberhorn LLC,70911,10/23/2015,Plano,Senior Director of Development,Director
168,Citi,94137,10/23/2015,,Apps Dev Sr. Manager,Manager
173,Citi,85287,10/23/2015,Shanghai,Applications Development Technical Specialist - Development Team Leader (VP) ,Vice Pres
174,Citi,119230,10/23/2015,Pune,Vice President (Job Number: 15092396),Vice Pres
178,ATL,90336,10/23/2015,,Director of Engineering - Worldwide,Director
185,CyberCoders,86419,10/23/2015,SLC,CTO - Well Funded Start Up,Other
187,CyberCoders,74227,10/23/2015,Colleyvile,CTO - Chief Technology Officer,Other
188,Insource Group,119004,10/26/2015,Irving,Integrations Manager,Manager
196,Kforce,91342,10/27/2015,Dallas,Data Analyst II / SSIS and ETL Mapping,Other
202,Alleare,117177,10/27/2015,Dallas,Digital Delivery & PMO Manager,Manager
213,KForce,106824,10/27/2015,,Application Developer Manager,Manager
216,Epsilon,95423,10/27/2015,,Director Database Development,Director
217,Ziosk,75681,10/28/2015,Dallas,Director of Program Management,Director
219,New York Life,114752,10/28/2015,Dallas,Head of IT PMO,Other
222,onesource-virtual,83726,10/28/2015,,PMO Project Manager,Manager
223,Red Flex,112893,10/28/2015,PHX,Director of Software Development,Director
228,ISGN,89860,10/29/2015,,Director Servicing Product Technology,Director
236,HCR Group,85646,10/29/2015,,Director of Application Support,Director
237,Levi Ray & Shoup,112840,10/30/2015,Irving,Director of Mobile Application Development (IOS),Director
239,Michael's,91041,11/3/2015,,Manager Project Management Office,Manager
243,Compass Technology Group,85109,11/3/2015,,Software Product Manager,Manager
246,Deloitt - Aviall,91638,11/3/2015,,IS Program Manager,Manager
247,GM Financial,104086,11/5/2015,,Data Governance Manager,Manager
252,Baylor Health Care System,119614,11/5/2015,,Manager INFORMATION SERVICES - ENTERPRISE INFORMATION DELIVERY ,Manager
255,Capital One,80199,11/6/2015,Plano,Director Software Engineering .NET,Director
258,Zales,116329,11/6/2015,Irving,Data/Applications,Other
259,HotDocs,89263,11/6/2015,Lindon,CTO,Other
264,MetaSource ,109843,11/6/2015,Draper,Senior Director of Software Engineering,Director
274,Trowbridge Professional Search ,77278,11/6/2015,Addison,Vice President Information Technology,Vice Pres
276,USAA,95998,11/6/2015,Austin,Director Information Governance,Director
289,DealerTrak,98429,11/9/2015,Dallas,Manager Software Development,Manager
290,Robert Half,119861,11/9/2015,Irving,Manager of Mobile Development,Manager
293,Robert Half,99716,11/9/2015,,Director Mobile (iOS) Application Development,Director
294,SMS Solutions,104783,11/9/2015,Carrollton,Director IT Development,Director
296,New York Life,108749,11/9/2015,Dallas,PM - Relationship Manager,Manager
298,MoneyGram,106792,11/10/2015,,Director IT Project Portfolio Planning,Director
301,TMX Finance,93375,11/10/2015,Dallas,VP of IT Development - Online Lending,Vice Pres
309,ZipRecruiters,85204,11/11/2015,,Senior Director of Development,Director
311,Veritude,80726,11/11/2015,Westlake,Director Of Software Development,Director
313,Medecision,86348,11/11/2015,,Director Data Management,Director
315,Alliance Data,73732,11/11/2015,,VP Technical Project Management – International Loyalty,Vice Pres
318,Sabre,112500,11/11/2015,South Lake,Director Software Development,Director
326,Blackhawk Engagement Solutions,82946,11/16/2015,Addison,Director Software Engineering,Director
330,Allegro,105788,11/16/2015,Dallas,Director Software Operations,Director
336,VHA-UHC Alliance NewCo Inc,71491,11/17/2015,,Director Data Intake-New Initiatives,Director
337,Thomson-Rueters,96089,11/17/2015,Carrollton,Director Development Manager - Fin Tech ,Manager
339,Epsilon,115593,11/18/2015,,Director of Development ,Director
342,Dealertrack Technologies,97998,11/18/2015,,Manager Software Engineering,Manager
345,Softworld,70423,11/20/2015,,Information Technology Director,Director
350,Fiserv,84132,11/23/2015,Dallas,Director Application Development Biller Solutions,Director
353,CareerBuilder-Prestige Staffing,87915,11/26/2015,Dallas,VP of Engineering,Vice Pres
356,Texas Healthcare Resources,118252,11/26/2015,Arlington,Project Director System Integration,Director
357,TruHearing,119296,11/30/2015,West Jordan,Director of Software Product ,Director
366,Workbridge Associates,70362,11/30/2015,,C# Director of Software Engineering ,Director
367,Concentra,112908,12/1/2015,Addison,Business Intelligence Data Warehouse Manager,Manager
368,Soutwest,114359,12/1/2015,Dallas,Sr Analyst,Other
369,Toyota,74329,12/1/2015,Plano,National Manager (Director) ,Manager
371,Highgate Hotels,76219,12/1/2015,Irving,Vice President IT Business Applications - (7171),Vice Pres
376,CBRE,102618,12/1/2015,Dallas,Director PMO-Project Manager,Manager
380,TMX Finance,83846,12/2/2015,Carrollton,VP of Application Development,Vice Pres
383,Domo,115909,12/2/2015,American Fork,Program Manager,Manager
384,Huckabee and Associates,93896,12/7/2015,Fort Worth,Director of Information Services,Director
391,Cinepolis USA,85128,12/7/2015,Dallas,Director OF IT,Director
395,U of U Medical Group,70195,12/7/2015,SLC,Associate Director - IT,Director
400,Alliance Data,106594,12/7/2015,Dallas,Senior Director of Database ,Director
406,Alliance Data,94485,12/7/2015,Dallas,Senior Manager of Technical Project Management,Manager
407,Elevate,95190,12/7/2015,,Program Manager,Manager
409,Professional Recruiters,91701,12/8/2015,Sandy,Director of Software Development ,Director
411,Epsilon,91215,12/8/2015,Irving,SVP R&D,Vice Pres
413,BYU-I,93567,12/8/2015,Rexburg,Adjunct Instructor - CIT 111: Introducton to Databases,Adjunct
415,BYU-I,83992,12/8/2015,Rexburg,Computer Science and Electrical Engineering Visiting Faculty,Other
427,TCC,94016,12/8/2015,Fort Worth,Adjunct Instructor - Computer Science,Adjunct
432,TCC,106615,12/8/2015,Fort Worth,Adjunct Instructor - Math,Adjunct
435,BYU-I,90791,12/8/2015,Rexburg,Adjunct Faculty--CIT 381: Business Intel and Analytics,Adjunct
439,BYU-I,80586,12/8/2015,Rexburg,Adjunct Instructor - CIT 160: Introduction to Programming,Adjunct
440,Kforce,115999,12/10/2015,,Director of Software Engineering,Director
446,Z-Tech Solutions,74762,12/11/2015,Arlington,Software Portfolio Director,Director
448,Mouser,85155,12/14/2015,Mansfield,Director Special Projects (IT),Director
451,Venture Solutions Inc.,114827,12/14/2015,Fort Worth,Sr. Director of Technology and Client Services,Director
452,Digital Intelligence Systems LLC,101204,12/16/2015,Dallas,Director of Data Management,Director
454,Demandware,114583,12/16/2015,SLC,Director of Software Engineering,Director
455,Extreme Technologies Inc,113799,12/16/2015,Dallas,Director IT PMO,Director
458,Thinkfind Corporation,95179,12/17/2015,Richardson,Director Software Development,Director
464,Think! Finance,110687,12/17/2015,Fort Worth,Manager UI Development,Manager
467,Progexion,114361,12/21/2015,,Director Software Development,Director
474,Robert Half,79746,12/21/2015,,Director of Data Engineering,Director
475,GTN Technical Staffing,80813,12/21/2015,Addison,Software Development Project Manager,Manager
488,Targetbase,83639,12/22/2015,Irving,Director of Information Technology,Director
490,Paladin,98358,12/22/2015,Dallas,Director Data Engineering,Director
493,EPE Innovations LLC,103816,12/22/2015,Dallas,Director Data Engineering,Director
495,ICS recruiter,119264,12/31/2015,Denver,Software Engineering Manager,Manager
501,AlixPartners,114718,1/1/2016,Dallas,Information Management Services - Vice President,Vice Pres
517,Avenue5,108233,1/1/2016,Dallas,Vice President Business Intelligence,Vice Pres
521,projekt202,84081,1/5/2016,Dallas,Director of Technology ,Director
522,CyberCoders,71206,1/5/2016,Fort Worth,Manager of UI Software Development,Manager
526,Odesus,116880,1/5/2016,Dallas,Director - PMO,Director
527,EPE Innovations LLC,75049,1/5/2016,Dallas,Data Management Director,Director
536,United States Bowling Congress,101642,1/6/2016,Arlington,Director of Software Architecture,Director
537,RealPage Inc. ,74278,1/6/2016,Carrollton,Vice President – Information Systems,Vice Pres
539,Omni Hotels,76473,1/6/2016,Dallas,Vice President of Information Technology,Vice Pres
544,Company Confidential,113913,1/6/2016,,Vice President of Information Technology,Vice Pres
552,XO Communications,98087,1/6/2016,Dallas,Vice President of Software Development,Vice Pres
556,Z-Tech Solutions,106811,1/6/2016,Arlington,Director of Software Product Management - Dental / Healthcare,Director
557,Oracle,87684,1/7/2016,Bedford,Software Development Snr Director-15001CW2,Director
560,PMAM Corporation,102336,1/8/2016,Dallas,IT Project Manager / IT Director,Manager
561,Panther IT,83507,1/12/2016,Fort Worth,Development Project Manager,Manager
564,Maxsys Solutions LLC,113068,1/12/2016,Irving,SQL/SSIS Developer,Developer
574,ECi Software Solutions,114271,1/12/2016,Fort Worth,Director Of Software Support,Director
580,ECi Software Solutions,86204,1/12/2016,Provo,Software Development Manager,Manager
584,APN Software Services Inc,81698,1/12/2016,Fort Worth,Software Manager,Manager
588,Caliber Homes,76693,1/12/2016,Fort Worth,Application Developer Manager,Manager
591,FTI Medical Solutions,100123,1/12/2016,Dallas,Director of Software Development,Director
595,McKesson,106587,1/12/2016,Dallas,Director Operations Project Management Office (PMO),Director
596,BNSF,98674,1/12/2016,Fort Worth,Manager of Technology Services ,Manager
598,Thomson-Rueters,108223,1/12/2016,Carrollton,Director Development (Job Number: JREQ055651),Director
601,Allied Electronics,108553,1/13/2016,Fort Worth,Director of Web Development,Director
602,American Airlines,101585,1/13/2016,Fort Worth,Director IT,Director
603,Recovco Mortgage Management LLC,114902,1/13/2016,Irving,Chief Technology Officer,Other
605,CareerBuilder,96262,1/13/2016,Dallas,Director of I.T.,Director
611,Insight Global,106662,1/13/2016,Irving,Director Enterprise Application Services,Director
614,Trinity Industries Inc.,102080,1/13/2016,Dallas,Director Applications Operations(2418),Director
617,One Technologies,76940,1/18/2016,Dallas,Manager Software Development,Manager
619,Dex Media,71569,1/18/2016,Fort Worth,Application Development Manager,Manager
620,Wolters Kluwer,99112,1/18/2016,Irving,Manager Software Development,Manager
628,Austin Ribbon & Computer - RPS,81415,1/18/2016,Dallas,Applications Support & Development Manager,Manager
629,Atavas,112726,1/18/2016,Dallas,Manager‚ Application Development,Manager
631,Zigatta,111507,1/18/2016,Dallas,Senior Application Development Manager,Manager
633,Transplace,98657,1/18/2016,Frisco,Vice President Application Development,Vice Pres
637,Triumph Aerostructures,92950,1/22/2016,Arlington,SQL Server Database Developer,Developer
638,Hire Talent,76112,1/22/2016,Irving,SQL Developer Analyst ,Developer
639,Insource Group,87639,1/22/2016,Fort Worth,Business Intelligence Analyst/Developer,Developer
643,Nigel Frank International,109126,1/22/2016,Fort Worth,SSRS/SSIS Developer-BI Developer,Developer
646,Gallop Solutions,95832,1/22/2016,Fort Worth,Sr. BI Developer,Developer
652,Cottonwood Financial,110011,1/25/2016,Irving,BUSINESS INTELLIGENCE MANAGER,Other
658,Optimal Blue,93564,1/26/2016,Plano,Software Development Manager ,Manager
659,Expedia,104515,1/26/2016,Dallas,Sr. Manager Production & Websites ,Manager
664,OpenTV-Nagra,85632,1/26/2016,Addison,Manager - Software Development (Java),Manager
669,Santander,73347,1/28/2016,Dallas,Sr. Vice-President Enterprise Technology-6659-702,Vice Pres
675,Santander,95567,1/28/2016,Dallas,Vice-President Business Intelligence and Analytics (6436-702),Vice Pres
680,Alliance Data,87370,1/28/2016,Irving,VP Technology Delivery (Job Number: 0072865),Vice Pres
685,DentalOne Partners,112942,1/28/2016,Dallas,Director IT Business Intelligence,Director
695,Depository Trust & Clearing Corporation,115226,1/28/2016,Dallas,Director Business Intelligence,Director
699,Avenues International Inc.,72140,2/1/2016,Dallas,BI/Population Health Director for Epic Data Warehouse,Director
702,Ferris & Associates,78200,2/1/2016,Dallas,Vice President Mobile Solutions,Vice Pres
704,Distribion,104730,2/2/2016,Dallas,Director of Software Development,Director
706,Watson Health- Phytel,90303,2/2/2016,Irving,Business Intelligence Manager,Manager
709,Balfour,97191,2/2/2016,Dallas,Software Development Manager / Software Project Manager,Manager
711,Zigatta,110191,2/2/2016,Dallas,Business Intelligence Manager,Manager
713,Novartis,76545,2/2/2016,Dallas,Application Manager - R&D Document Management,Manager
714,SouthWest Airlines,78215,2/2/2016,Dallas,Senior Manager - Tech Ops Planning,Manager
715,Michael's,91282,2/4/2016,Dallas,Manager of IT Applications - CRM & Marketing,Manager
718,Rushmore Loans,94530,2/5/2016,Farmers Branch,Director of Technology,Director
719,Compass Technology Group,88566,2/5/2016,Dallas,Manager of Software Product Development,Manager
721,Lanvera,73884,2/5/2016,Coppell,Software Product Manager,Manager
732,ESI Healthcare Business Solutions,84727,2/5/2016,Dallas,Director .NET Development,Director
737,United Systems Technology Inc,92503,2/5/2016,Carrollton,Software Development Manager,Manager
742,Insource Group,80451,2/5/2016,Dallas,Data Governance Lead,Other
744,Paladin,70119,2/8/2016,Dallas,Manager Data Management,Manager
751,ConsultNet,84658,2/9/2016,Farmington,Executive Director of Technology,Director
752,MDI Group,98238,2/10/2016,Dallas,Manager Application Support,Manager
753,Prestige Staffing,93086,2/10/2016,Dallas,Software Development Manager,Manager
756,CSC,117310,2/10/2016,Irving,Manager: Application Delivery,Manager
758,CSC,71324,2/10/2016,Irving,CSC Executive Leadership Opportunities in the US,Other
761,Yes Recruiters,70825,2/10/2016,Dallas,Software Development / Project Manager,Manager
762,Allegro,88209,2/10/2016,Jakarta,Director Product Development,Director
763,Sabre,89623,2/11/2016,South Lake,Senior Director Software Development Tools & Automation ,Director
767,Sabre,109725,2/11/2016,South Lake,Principal IT Project Management,Other
768,Ryan,114894,2/11/2016,Dallas,Vice President IT Applications,Vice Pres
771,Ryan,119058,2/11/2016,London,Manager Data Acquisition Data Extraction,Manager
779,Z-Tech Solutions,116059,2/12/2016,Fort Worth,Director of IT - Business Services,Director
780,CBRE,95741,2/12/2016,Dallas,Director - Enterprise Data & Architecture,Director
781,KP Recruiting Group,90847,2/12/2016,Dallas,Software Development Manager / Software Project Manager,Manager
783,Dealer.com,80111,2/12/2016,Dallas,Manager Software Engineering,Manager
788,Company Confidential,71972,2/12/2016,Dallas,Director - Global IT Enterprise Applications,Director
791,Genesis10,111748,2/16/2016,Dallas,Program Manager,Manager
792,Alliance Data,117618,2/16/2016,Irving,Director Tech Project Management,Director
793,Ancestry,72758,2/17/2016,Provo,Software Development Manager,Manager
795,StorageCraft,111971,2/17/2016,Provo,Vice President of Engineering,Vice Pres
797,UVU,72708,2/17/2016,Orem,Adjunct Instructor - Computer Science,Adjunct
805,UVU,116853,2/17/2016,Orem,Director - Portfolio and Project Management Office,Director
807,HealthMine Inc.,119832,2/17/2016,Dallas,VP of Engineering,Vice Pres
810,Lucernex,114093,2/17/2016,Plano,CTO and VP of Software Engineering,Vice Pres
813,KP Recruiting Group,82134,2/17/2016,Dallas,Software Development Manager / Software Project Manager,Manager
814,Kforce,86374,2/17/2016,Irving,Manager of IT Applications,Manager
818,Ventana Solutions,89434,2/17/2016,Irving,Software Development Manager,Manager
820,Biter & Associates LLC,70308,2/17/2016,Fort Worth,Vice President of Information Technology,Vice Pres
823,Recovco Mortgage Management LLC,112964,2/17/2016,Irving,Chief Technology Officer,Other
824,CareerBuilder,112221,2/17/2016,Dallas,Director of I.T.,Director
826,Yasmesoft,104111,2/17/2016,Dallas,Software Development Manager / Software Project Manager ,Manager
827,Vizient,70850,2/17/2016,Dallas,Manager Application Delivery & Development,Manager
829,TCS,99121,2/18/2016,Dallas,Strategy Consultant – Mortgage and Housing Finance,Other
830,AA,114982,2/18/2016,Fort Worth,Data Governance / data strategy SME ,Other
832,L-3 Communications,105695,2/23/2016,Arlington,Vice President of Engineering,Vice Pres
838,CBTS,79696,2/23/2016,Las Colinas,Vice President of Information Technology,Vice Pres
839,Progressive IT,96737,2/25/2016,The Colony,Director of IT and Software Development,Director
840,CyberCoders,109070,2/26/2016,Orem,IT Director,Director
842,Prince Perelson & Associates Llc | Draper UT,92986,2/26/2016,Draper,Software Development Manager,Manager
852,InnoCore Solutions Inc,81861,2/26/2016,Dallas,Data Governance Implementation Manager,Manager
856,MatchPoint Consulting Group,85393,2/26/2016,Irving,Vice President - Enterprise Change Management,Vice Pres
872,Selby Jennings,87537,2/26/2016,Dallas,SVP - Data Governance/Quality/Management,Vice Pres
881,Ambit Energy,110442,2/26/2016,Dallas,Manager Project Management,Manager
882,Pursue IT Staffing,95907,2/26/2016,Addison,Director of Technology ,Director
884,TekSystems,98495,3/1/2016,Dallas,Software Development Manager,Manager
885,JP Morgan,111675,3/7/2016,Dallas,Applications Development Director - ED,Director
887,Federal Reserve Bank,85916,3/7/2016,Dallas,Application Development Manager,Manager
892,Jade Staffing,72639,3/7/2016,Irving,VP Information Technology,Vice Pres
894,HALLMARK GLOBAL TECHNOLOGIES INC,70864,3/7/2016,Fort Worth,Application Project Manager,Manager
899,TCS Data Consulting Services,92818,3/9/2016,Dallas,ETL/Data Analysts,Other
900,Epsilon,94068,3/22/2016,Dallas,VP - Technology Delivery-0077310,Vice Pres
902,Ministry Brands,82168,3/23/2016,Addison,Software Development Manager,Manager
903,Caliber Homes,70499,3/23/2016,Coppell,Originations Reporting & Analytics Manager,Manager
906,Novartis,90858,3/28/2016,Fort Worth,Mobile Governance Manager,Manager
908,Bottle Rocket,117599,3/29/2016,Dallas,Software Development Manager Mobile TV Anywhere Platform,Manager
909,NationStar Mortgage,95680,3/29/2016,Dallas,VP Data Integrity,Vice Pres
910,NationStar Mortgage,100820,3/29/2016,Dallas,Sr. ETL Developer,Developer
916,HighQuartile,90402,3/29/2016,Dallas,Software Development Manager,Manager
917,Omnitracs,109373,3/29/2016,Dallas,Vice President of Product Development - Mobile Applications,Vice Pres
920,Goldman Sachs,95221,3/29/2016,Irving,Realty Management Division Residential Mortgage Asset Management Reporting & Data Analytics Vice President,Vice Pres
944,Baylor Health Care System,116069,3/29/2016,Dallas,Sr Vice President - Build - Information Technology ,Vice Pres
948,HealthEquity,97744,4/5/2016,Draper,VP Software Development and Delivery,Vice Pres
950,Lhoist,76731,4/5/2016,Fort Worth,IT Director,Director
951,Technology Service Professionals,114722,4/5/2016,Dallas,Application Development Manager,Manager
953,Flowserve,85946,4/5/2016,Irving,Director IT – Business Intelligence,Director
955,ID Inc,83006,4/5/2016,Dallas,Software Development Manager,Manager
958,HumCap Inc,109306,4/5/2016,Las Colinas,Director Of Mobile Development,Director
964,MCT,99174,4/5/2016,Fort Worth,New Horizons - Teaching - Adjunct,Adjunct
965,Allied Electronics,98825,4/5/2016,Fort Worth,Director of Web Development,Director
966,Data Masters,107080,4/7/2016,Fort Worth,Director of Software Engineering,Director
985,Pailin Group Professional Search Consultants,111021,4/7/2016,Dallas,Director of Mobile Development,Director
990,Plaza Medical Center of Fort Worth,103391,4/7/2016,Fort Worth,Director of Information Technology,Director
992,Training Associates,103009,4/7/2016,Ohio,JPMC Boot Camp,Other
993,Inmar,98392,4/8/2016,Fort Worth,Director Software Engineering,Director
996,WGU,96457,4/8/2016,Online,Course Mentor IT Web Development - Adjunct,Adjunct
1082,WGU,97946,4/8/2016,Online,Course Mentor IT Object-oriented programming - Adjunct,Adjunct
1101,WGU,73977,4/8/2016,Online,Course Mentor IT Data Management and Data Analytics,Other
1207,Acrobat,102157,4/12/2016,Las Colinas,Director of Mobile Development,Director
1217,Caliber Homes,92466,4/5/2016,Irving,VP of Business Intelligence,Vice Pres
1223,Dickies,88764,4/14/2016,Fort Worth,Director of IT,Director
1230,PwC,70912,4/14/2016,Dallas,Director IT Strategy - Power & Utilities,Director
1251,RJ Byrd Search Group,115395,4/14/2016,Fort Worth,Director of PMO,Director
1277,Data Masters,111520,4/14/2016,Fort Worth,Director of Application Software Development,Director
1308,L-3 Communications,106151,4/14/2016,Arlington,Software Engineering Resource Manager,Manager
